order_id,reconciliation_status,exception_type,exception_description,expected_settlement,actual_settlement,difference,warning,ai_required
ORD000001,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 2954.02, but actual settlement is 2573.02. Difference is 381.00.",2954.02,2573.02,381.0,,True
ORD000002,RECONCILED,,,1959.02,1959.02,0.0,,False
ORD000003,RECONCILED,,,3939.02,3939.02,0.0,,False
ORD000004,RECONCILED,,,1963.02,1963.02,0.0,,False
ORD000005,RECONCILED,,,1963.02,1963.02,0.0,,False
ORD000006,RECONCILED,,,489.02,489.02,0.0,Settlement occurred 4 days after payment.,False
ORD000007,RECONCILED,,,9819.02,9819.02,0.0,,False
ORD000008,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000009,RECONCILED,,,7018.35,7018.35,0.0,,False
ORD000010,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 3939.02, but actual settlement is 3810.02. Difference is 129.00.",3939.02,3810.02,129.0,,True
ORD000011,RECONCILED,,,5891.02,5891.02,0.0,,False
ORD000012,RECONCILED,,,2969.01,2969.01,0.0,,False
ORD000013,RECONCILED,,,2474.01,2474.01,0.0,,False
ORD000014,RECONCILED,,,14421.39,14421.39,0.0,,False
ORD000015,RECONCILED,,,791.01,791.01,0.0,,False
ORD000016,RECONCILED,,,787.02,787.02,0.0,,False
ORD000017,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000018,RECONCILED,,,7424.01,7424.01,0.0,,False
ORD000019,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 1969.02, but actual settlement is 1830.02. Difference is 139.00.",1969.02,1830.02,139.0,,True
ORD000020,RECONCILED,,,4924.02,4924.02,0.0,,False
ORD000021,RECONCILED,,,3919.02,3919.02,0.0,,False
ORD000022,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 13175.12, but actual settlement is 13003.12. Difference is 172.00.",13175.12,13003.12,172.0,,True
ORD000023,RECONCILED,,,12434.08,12434.08,0.0,,False
ORD000024,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 491.52, but actual settlement is 354.52. Difference is 137.00.",491.52,354.52,137.0,,True
ORD000025,EXCEPTION,PAYMENT_NOT_SUCCESSFUL,Payment was not successful.,,,,,False
ORD000026,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 4899.02, but actual settlement is 4368.02. Difference is 531.00.",4899.02,4368.02,531.0,,True
ORD000027,RECONCILED,,,791.01,791.01,0.0,,False
ORD000028,EXCEPTION,PAYMENT_AMOUNT_MISMATCH,"Order amount is 999.00, but payment amount is 868.11.",,,,,True
ORD000029,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000030,RECONCILED,,,1484.01,1484.01,0.0,,False
ORD000031,RECONCILED,,,9799.02,9799.02,0.0,,False
ORD000032,EXCEPTION,PAYMENT_AMOUNT_MISMATCH,"Order amount is 5999.00, but payment amount is 5077.35.",,,,,True
ORD000033,RECONCILED,,,981.02,981.02,0.0,,False
ORD000034,RECONCILED,,,791.01,791.01,0.0,,False
ORD000035,RECONCILED,,,9082.52,9082.52,0.0,,False
ORD000036,RECONCILED,,,1969.02,1969.02,0.0,,False
ORD000037,EXCEPTION,DUPLICATE_PAYMENT,2 successful payments found for this order.,,,,,True
ORD000038,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 1825.54, but actual settlement is 1642.54. Difference is 183.00.",1825.54,1642.54,183.0,,True
ORD000039,EXCEPTION,DUPLICATE_SETTLEMENT,2 settlement records found for this payment.,479.16,479.16,0.0,,True
ORD000040,RECONCILED,,,787.02,787.02,0.0,,False
ORD000041,EXCEPTION,SETTLEMENT_MISSING,"Successful payment exists, but no settlement record exists.",,,,,True
ORD000042,RECONCILED,,,12815.1,12815.1,0.0,,False
ORD000043,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 14541.12, but actual settlement is 14436.12. Difference is 105.00.",14541.12,14436.12,105.0,,True
ORD000044,RECONCILED,,,1959.02,1959.02,0.0,,False
ORD000045,EXCEPTION,SETTLEMENT_AMOUNT_MISMATCH,"Expected settlement is 5909.02, but actual settlement is 5794.02. Difference is 115.00.",5909.02,5794.02,115.0,,True
ORD000046,RECONCILED,,,7349.02,7349.02,0.0,Settlement occurred 7 days after payment.,False
ORD000047,RECONCILED,,,5939.01,5939.01,0.0,,False
ORD000048,RECONCILED,,,783.02,783.02,0.0,,False
ORD000049,EXCEPTION,PAYMENT_AMOUNT_MISMATCH,"Order amount is 799.00, but payment amount is 677.77.",,,,,True
ORD000050,RECONCILED,,,3959.01,3959.01,0.0,,False
ORD000051,RECONCILED,,,6857.73,6857.73,0.0,,False
ORD000052,RECONCILED,,,9899.01,9899.01,0.0,,False
