order_id,customer_id,order_date,order_amount,payment_id,payment_date,payment_amount,payment_method,payment_status,payment_count,settlement_id,settlement_date,settlement_amount,fee,adjustment,settlement_status,settlement_count,scenario
ORD000001,CUST0174,2026-08-04,5999,PAY000001,2026-08-05,5999.0,Wallet,Success,1,SET000001,2026-08-06,5891.02,107.98,0.0,Settled,1,normal
ORD000002,CUST0229,2026-08-24,9756,PAY000002,2026-08-24,9756.0,Netbanking,Success,1,SET000002,2026-08-25,9609.66,146.34,0.0,Settled,1,normal
ORD000003,CUST0090,2026-08-14,9999,PAY000003,2026-08-14,9999.0,Netbanking,Success,1,SET000003,2026-08-15,9849.02,149.98,0.0,Settled,1,processing_fee
ORD000004,CUST0187,2026-08-05,1523,PAY000004,2026-08-05,1523.0,Wallet,Success,1,SET000004,2026-08-06,1495.59,27.41,0.0,Settled,1,normal
ORD000005,CUST0289,2026-08-08,3999,PAY000005,2026-08-09,3541.61,Card,Success,1,SET000005,2026-08-10,3470.78,70.83,0.0,Settled,1,payment_amount_mismatch
ORD000006,CUST0098,2026-08-07,299,PAY000006,2026-08-07,299.0,Netbanking,Success,1,SET000006,2026-08-08,294.52,4.48,0.0,Settled,1,normal
ORD000007,CUST0105,2026-08-27,1499,PAY000007,2026-08-28,1499.0,Netbanking,Success,1,,,,0.0,0.0,Missing,1,missing_settlement
ORD000008,CUST0175,2026-08-24,1499,PAY000008,2026-08-25,1499.0,Wallet,Success,1,,,,0.0,0.0,Missing,1,missing_settlement
ORD000009,CUST0222,2026-08-24,2999,PAY000009,2026-08-24,2999.0,Card,Success,1,SET000009,2026-08-25,2939.02,59.98,0.0,Settled,1,normal
ORD000010,CUST0101,2026-08-29,11182,PAY000010,2026-08-29,11182.0,Netbanking,Success,1,SET000010,2026-08-30,11014.27,167.73,0.0,Settled,1,normal
ORD000011,CUST0175,2026-08-26,4999,PAY000011,2026-08-26,4999.0,Netbanking,Success,1,SET000011,2026-08-27,4924.02,74.98,0.0,Settled,1,processing_fee
ORD000012,CUST0273,2026-08-10,2999,PAY000012,2026-08-11,2999.0,Wallet,Success,1,SET000012,2026-08-12,2254.02,53.98,0.0,Settled,1,unexplained_discrepancy
ORD000013,CUST0097,2026-08-25,2999,PAY000013,2026-08-26,2999.0,Wallet,Success,1,SET000013,2026-08-27,2945.02,53.98,0.0,Settled,1,processing_fee
ORD000014,CUST0059,2026-08-16,2499,PAY000014,2026-08-17,2499.0,UPI,Success,1,,,,0.0,0.0,Missing,1,missing_settlement
ORD000015,CUST0130,2026-08-18,7124,PAY000015,2026-08-19,7124.0,Wallet,Success,1,SET000015,2026-08-20,6995.77,128.23,0.0,Settled,1,normal
ORD000016,CUST0282,2026-08-01,13636,PAY000016,2026-08-02,13636.0,Netbanking,Success,1,SET000016,2026-08-03,10283.46,204.54,0.0,Settled,1,settlement_amount_mismatch
ORD000017,CUST0002,2026-08-13,5999,PAY000017,2026-08-14,5999.0,Card,Success,1,SET000017,2026-08-15,5879.02,119.98,0.0,Settled,1,normal
ORD000018,CUST0221,2026-08-22,12750,PAY000018,2026-08-23,12750.0,Netbanking,Success,1,SET000018,2026-08-24,12558.75,191.25,0.0,Settled,1,normal
ORD000019,CUST0020,2026-08-07,2999,PAY000019,2026-08-08,2999.0,Netbanking,Success,1,SET000019,2026-08-12,2954.02,44.98,0.0,Settled,1,delayed_settlement
ORD000020,CUST0014,2026-08-26,9308,PAY000020,2026-08-26,9308.0,Wallet,Success,1,SET000020,2026-08-27,6284.46,167.54,0.0,Settled,1,unexplained_discrepancy
ORD000021,CUST0223,2026-08-01,1999,PAY000021,2026-08-02,1999.0,Card,Success,2,SET000021,2026-08-03,1959.02,39.98,0.0,Settled,1,duplicate_payment
ORD000022,CUST0281,2026-08-05,5999,PAY000022,2026-08-05,5999.0,UPI,Success,1,SET000022,2026-08-06,5939.01,59.99,0.0,Settled,1,normal
ORD000023,CUST0168,2026-08-07,499,PAY000023,2026-08-08,499.0,Netbanking,Success,1,SET000023,2026-08-09,491.52,7.48,0.0,Settled,1,normal
ORD000024,CUST0103,2026-08-08,14884,PAY000024,2026-08-09,14884.0,Netbanking,Success,1,SET000024,2026-08-10,14660.74,223.26,0.0,Settled,1,processing_fee
ORD000025,CUST0300,2026-08-08,2499,PAY000025,2026-08-09,2499.0,UPI,Success,1,SET000025,2026-08-10,1743.01,24.99,0.0,Settled,1,settlement_amount_mismatch
ORD000026,CUST0254,2026-08-30,7499,PAY000026,2026-08-31,7499.0,Wallet,Success,1,SET000026,2026-09-01,7364.02,134.98,0.0,Settled,1,normal
ORD000027,CUST0226,2026-08-01,9999,PAY000027,2026-08-02,9999.0,UPI,Failed,1,,,,0.0,0.0,Not Applicable,1,failed_payment
ORD000028,CUST0083,2026-08-12,299,PAY000028,2026-08-12,299.0,UPI,Success,1,SET000028,2026-08-13,189.01,2.99,0.0,Settled,1,settlement_amount_mismatch
ORD000029,CUST0276,2026-08-30,4999,PAY000029,2026-08-30,4999.0,UPI,Success,1,SET000029,2026-08-31,4949.01,49.99,0.0,Settled,1,normal
ORD000030,CUST0017,2026-08-21,299,PAY000030,2026-08-22,299.0,Wallet,Success,1,SET000030,2026-08-23,293.62,5.38,0.0,Settled,1,processing_fee
ORD000031,CUST0068,2026-08-11,299,PAY000031,2026-08-12,299.0,Wallet,Success,1,SET000031,2026-08-13,293.62,5.38,0.0,Settled,1,normal
ORD000032,CUST0190,2026-08-28,999,PAY000032,2026-08-29,999.0,Card,Success,1,SET000032,2026-08-30,979.02,19.98,0.0,Settled,1,processing_fee
ORD000033,CUST0208,2026-08-24,2540,PAY000033,2026-08-25,2540.0,Netbanking,Success,1,SET000033,2026-08-26,2501.9,38.1,0.0,Settled,1,normal
